Treatment,Fluorescence
HFD,23811.2
HFD,24265.78
HFD,24955.11
NO/NO,5773.02
NO/NO,5926.19
NO/NO,6328.69
LO/NO,11002.1
LO/NO,9830.2
LO/NO,10235.8
HI/NO,12382.4
HI/NO,13101.273
HI/NO,12788.91
NO/LO,7165.59
NO/LO,7849.72
NO/LO,8148.87
NO/HI,7464.39
NO/HI,6922.58
NO/HI,200.23
LO/LO,6654.23
LO/LO,6815.02
LO/LO,7218.13
HI/HI,11289.22
HI/HI,10983.06
HI/HI,13923.44
